"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,16,"AUT","Austria",1,"Burgenland","AT.BU",0," ","Bundesländ|Länd","State"," ","Burgenlândia"
2,16,"AUT","Austria",2,"Kärnten","AT.KA",0," ","Bundesländ|Länd","State"," ","Carinthia|Caríntia|Carintia"
3,16,"AUT","Austria",3,"Niederösterreich","AT.NO",0," ","Bundesländ|Länd","State"," ","Lower Austria|Baixa-Áustria|Baja Austria|Niederdonau|Österreich unter der Enns"
4,16,"AUT","Austria",4,"Oberösterreich","AT.OO",0," ","Bundesländ|Länd","State"," ","Upper Austria|Alta-Áustria|Alta Austria|Österreich ober der Enns|Oberösterreich"
5,16,"AUT","Austria",4,"Oberösterreich","AT.OO",4,"4","Bundesländ|Länd","State"," ","Upper Austria|Alta-Áustria|Alta Austria|Österreich ober der Enns|Oberösterreich"
6,16,"AUT","Austria",5,"Salzburg","AT.SZ",0," ","Bundesländ|Länd","State"," ","Salzburgo"
7,16,"AUT","Austria",6,"Steiermark","AT.ST",0," ","Bundesländ|Länd","State"," ","Styria|Est¡ria|Estiria"
8,16,"AUT","Austria",7,"Tirol","AT.TR",0," ","Bundesländ|Länd","State"," ","Tyrol"
9,16,"AUT","Austria",8,"Vorarlberg","AT.VO",0," ","Bundesländ|Länd","State"," "," "
10,16,"AUT","Austria",8,"Vorarlberg","AT.VO",0,"<Null>","Bundesländ|Länd","State"," ","<Null>"
11,16,"AUT","Austria",9,"Wien","AT.WI",0," ","Bundesländ|Länd","State"," ","Vienna|Viena"
