"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",1,"Breitenbrunn am Neusiedler See",10301,"10301","Gemeinde","Municipality"," "," "
2,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",2,"Donnerskirchen",10302,"10302","Gemeinde","Municipality"," "," "
3,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",3,"Großhöflein",10303,"10303","Gemeinde","Municipality"," "," "
4,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",4,"Hornstein",10304,"10304","Gemeinde","Municipality"," "," "
5,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",5,"Klingenbach",10305,"10305","Gemeinde","Municipality"," "," "
6,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",6,"Leithaprodersdorf",10306,"10306","Gemeinde","Municipality"," "," "
7,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",7,"Loretto",10320,"10320","Gemeinde","Municipality"," "," "
8,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",8,"Mörbisch am See",10307,"10307","Gemeinde","Municipality"," "," "
9,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",9,"Müllendorf",10308,"10308","Gemeinde","Municipality"," "," "
10,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",10,"Neufeld an der Leitha",10309,"10309","Gemeinde","Municipality"," "," "
11,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",11,"Oggau am Neusiedler See",10310,"10310","Gemeinde","Municipality"," "," "
12,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",12,"Oslip",10311,"10311","Gemeinde","Municipality"," "," "
13,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",13,"Purbach am Neusiedler See",10312,"10312","Gemeinde","Municipality"," "," "
14,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",14,"Sankt Margarethen im Burgenland",10313,"10313","Gemeinde","Municipality"," "," "
15,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",15,"Schützen am Gebirge",10314,"10314","Gemeinde","Municipality"," "," "
16,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",16,"Siegendorf",10315,"10315","Gemeinde","Municipality"," "," "
17,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",17,"Steinbrunn",10316,"10316","Gemeinde","Municipality"," "," "
18,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",18,"Stotzing",10321,"10321","Gemeinde","Municipality"," "," "
19,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",19,"Trausdorf an der Wulka",10317,"10317","Gemeinde","Municipality"," "," "
20,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",20,"Wimpassing an der Leitha",10318,"10318","Gemeinde","Municipality"," "," "
21,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",21,"Wulkaprodersdorf",10319,"10319","Gemeinde","Municipality"," "," "
22,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",22,"Zagersdorf",10323,"10323","Gemeinde","Municipality"," "," "
23,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung",23,"Zillingtal",10322,"10322","Gemeinde","Municipality"," "," "
24,16,"AUT","Austria",1,"Burgenland",2,"Eisenstadt",24,"Eisenstadt",10101,"10101","Gemeinde","Municipality"," "," "
25,16,"AUT","Austria",1,"Burgenland",3,"Güssing",25,"Bildein",10426,"10426","Gemeinde","Municipality"," "," "
26,16,"AUT","Austria",1,"Burgenland",3,"Güssing",26,"Bocksdorf",10401,"10401","Gemeinde","Municipality"," "," "
27,16,"AUT","Austria",1,"Burgenland",3,"Güssing",27,"Burgauberg-Neudauberg",10402,"10402","Gemeinde","Municipality"," "," "
28,16,"AUT","Austria",1,"Burgenland",3,"Güssing",28,"Eberau",10403,"10403","Gemeinde","Municipality"," "," "
29,16,"AUT","Austria",1,"Burgenland",3,"Güssing",29,"Güssing",10405,"10405","Gemeinde","Municipality"," "," "
30,16,"AUT","Austria",1,"Burgenland",3,"Güssing",30,"Güttenbach",10406,"10406","Gemeinde","Municipality"," "," "
31,16,"AUT","Austria",1,"Burgenland",3,"Güssing",31,"Gerersdorf-Sulz",10404,"10404","Gemeinde","Municipality"," "," "
32,16,"AUT","Austria",1,"Burgenland",3,"Güssing",32,"Großmürbisch",10420,"10420","Gemeinde","Municipality"," "," "
33,16,"AUT","Austria",1,"Burgenland",3,"Güssing",33,"Hackerberg",10418,"10418","Gemeinde","Municipality"," "," "
34,16,"AUT","Austria",1,"Burgenland",3,"Güssing",34,"Heiligenbrunn",10407,"10407","Gemeinde","Municipality"," "," "
35,16,"AUT","Austria",1,"Burgenland",3,"Güssing",35,"Heugraben",10424,"10424","Gemeinde","Municipality"," "," "
36,16,"AUT","Austria",1,"Burgenland",3,"Güssing",36,"Inzenhof",10421,"10421","Gemeinde","Municipality"," "," "
37,16,"AUT","Austria",1,"Burgenland",3,"Güssing",37,"Kleinmürbisch",10422,"10422","Gemeinde","Municipality"," "," "
38,16,"AUT","Austria",1,"Burgenland",3,"Güssing",38,"Kukmirn",10408,"10408","Gemeinde","Municipality"," "," "
39,16,"AUT","Austria",1,"Burgenland",3,"Güssing",39,"Moschendorf",10428,"10428","Gemeinde","Municipality"," "," "
40,16,"AUT","Austria",1,"Burgenland",3,"Güssing",40,"Neuberg im Burgenland",10409,"10409","Gemeinde","Municipality"," "," "
41,16,"AUT","Austria",1,"Burgenland",3,"Güssing",41,"Neustift bei Güssing",10410,"10410","Gemeinde","Municipality"," "," "
42,16,"AUT","Austria",1,"Burgenland",3,"Güssing",42,"Olbendorf",10411,"10411","Gemeinde","Municipality"," "," "
43,16,"AUT","Austria",1,"Burgenland",3,"Güssing",43,"Ollersdorf im Burgenland",10412,"10412","Gemeinde","Municipality"," "," "
44,16,"AUT","Austria",1,"Burgenland",3,"Güssing",44,"Rauchwart",10427,"10427","Gemeinde","Municipality"," "," "
45,16,"AUT","Austria",1,"Burgenland",3,"Güssing",45,"Rohr im Burgenland",10425,"10425","Gemeinde","Municipality"," "," "
46,16,"AUT","Austria",1,"Burgenland",3,"Güssing",46,"Sankt Michael im Burgenland",10413,"10413","Gemeinde","Municipality"," "," "
47,16,"AUT","Austria",1,"Burgenland",3,"Güssing",47,"Stegersbach",10414,"10414","Gemeinde","Municipality"," "," "
48,16,"AUT","Austria",1,"Burgenland",3,"Güssing",48,"Stinatz",10415,"10415","Gemeinde","Municipality"," "," "
49,16,"AUT","Austria",1,"Burgenland",3,"Güssing",49,"Strem",10416,"10416","Gemeinde","Municipality"," "," "
50,16,"AUT","Austria",1,"Burgenland",3,"Güssing",50,"Tobaj",10417,"10417","Gemeinde","Municipality"," "," "
51,16,"AUT","Austria",1,"Burgenland",3,"Güssing",51,"Tschanigraben",10423,"10423","Gemeinde","Municipality"," "," "
52,16,"AUT","Austria",1,"Burgenland",3,"Güssing",52,"Wörterberg",10419,"10419","Gemeinde","Municipality"," "," "
53,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",53,"Deutsch Kaltenbrunn",10501,"10501","Gemeinde","Municipality"," "," "
54,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",54,"Eltendorf",10502,"10502","Gemeinde","Municipality"," "," "
55,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",55,"Heiligenkreuz im Lafnitztal",10503,"10503","Gemeinde","Municipality"," "," "
56,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",56,"Jennersdorf",10504,"10504","Gemeinde","Municipality"," "," "
57,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",57,"Königsdorf",10511,"10511","Gemeinde","Municipality"," "," "
58,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",58,"Mühlgraben",10512,"10512","Gemeinde","Municipality"," "," "
59,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",59,"Minihof-Liebau",10505,"10505","Gemeinde","Municipality"," "," "
60,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",60,"Mogersdorf",10506,"10506","Gemeinde","Municipality"," "," "
61,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",61,"Neuhaus am Klausenbach",10507,"10507","Gemeinde","Municipality"," "," "
62,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",62,"Rudersdorf",10508,"10508","Gemeinde","Municipality"," "," "
63,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",63,"Sankt Martin an der Raab",10509,"10509","Gemeinde","Municipality"," "," "
64,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf",64,"Weichselbaum",10510,"10510","Gemeinde","Municipality"," "," "
65,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",65,"Antau",10616,"10616","Gemeinde","Municipality"," "," "
66,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",66,"Bad Sauerbrunn",10611,"10611","Gemeinde","Municipality"," "," "
67,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",67,"Baumgarten",10617,"10617","Gemeinde","Municipality"," "," "
68,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",68,"Draßburg",10601,"10601","Gemeinde","Municipality"," "," "
69,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",69,"Forchtenstein",10602,"10602","Gemeinde","Municipality"," "," "
70,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",70,"Hirm",10603,"10603","Gemeinde","Municipality"," "," "
71,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",71,"Krensdorf",10619,"10619","Gemeinde","Municipality"," "," "
72,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",72,"Loipersbach im Burgenland",10604,"10604","Gemeinde","Municipality"," "," "
73,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",73,"Marz",10605,"10605","Gemeinde","Municipality"," "," "
74,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",74,"Mattersburg",10606,"10606","Gemeinde","Municipality"," "," "
75,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg",75,"Neudörfl",10607,"10607","Gemeinde","Municipality"," "," "
