"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,207,"SVK","Slovakia",1,"Žilinský",1,"Žilina","SK.ZI.ZA",NA,"511","Okres","District","",""
2,207,"SVK","Slovakia",1,"Žilinský",2,"Bytca","SK.ZI.BY",NA,"501","Okres","District","",""
3,207,"SVK","Slovakia",1,"Žilinský",3,"Cadca","SK.ZI.CA",NA,"502","Okres","District","",""
4,207,"SVK","Slovakia",1,"Žilinský",4,"Dolný Kubín","SK.ZI.DK",NA,"503","Okres","District","",""
5,207,"SVK","Slovakia",1,"Žilinský",5,"Kysucké Nové Mesto","SK.ZI.KM",NA,"504","Okres","District","",""
6,207,"SVK","Slovakia",1,"Žilinský",6,"Liptovský Mikuláš","SK.ZI.LM",NA,"505","Okres","District","",""
7,207,"SVK","Slovakia",1,"Žilinský",7,"Martin","SK.ZI.MT",NA,"506","Okres","District","",""
8,207,"SVK","Slovakia",1,"Žilinský",8,"Námestovo","SK.ZI.NO",NA,"507","Okres","District","",""
9,207,"SVK","Slovakia",1,"Žilinský",9,"Ružomberok","SK.ZI.RK",NA,"508","Okres","District","",""
10,207,"SVK","Slovakia",1,"Žilinský",10,"Turcianske Teplice","SK.ZI.TR",NA,"509","Okres","District","",""
11,207,"SVK","Slovakia",1,"Žilinský",11,"Tvrdošín","SK.ZI.TS",NA,"510","Okres","District","",""
12,207,"SVK","Slovakia",2,"Banskobystrický",12,"Žarnovica","SK.BC.ZC",NA,"612","Okres","District","",""
13,207,"SVK","Slovakia",2,"Banskobystrický",13,"Žiar nad Hronom","SK.BC.ZH",NA,"613","Okres","District","",""
14,207,"SVK","Slovakia",2,"Banskobystrický",14,"Banská Štiavnica","SK.BC.BS",NA,"602","Okres","District","",""
15,207,"SVK","Slovakia",2,"Banskobystrický",15,"Banská Bystrica","SK.BC.BB",NA,"601","Okres","District","",""
16,207,"SVK","Slovakia",2,"Banskobystrický",16,"Brezno","SK.BC.BR",NA,"603","Okres","District","",""
17,207,"SVK","Slovakia",2,"Banskobystrický",17,"Detva","SK.BC.DT",NA,"604","Okres","District","",""
18,207,"SVK","Slovakia",2,"Banskobystrický",18,"Krupina","SK.BC.KA",NA,"605","Okres","District","",""
19,207,"SVK","Slovakia",2,"Banskobystrický",19,"Lucenec","SK.BC.LC",NA,"606","Okres","District","",""
20,207,"SVK","Slovakia",2,"Banskobystrický",20,"Poltár","SK.BC.PT",NA,"607","Okres","District","",""
21,207,"SVK","Slovakia",2,"Banskobystrický",21,"Revúca","SK.BC.RA",NA,"608","Okres","District","",""
22,207,"SVK","Slovakia",2,"Banskobystrický",22,"Rimavská Sobota","SK.BC.RS",NA,"609","Okres","District","",""
23,207,"SVK","Slovakia",2,"Banskobystrický",23,"Velký Krtíš","SK.BC.VK",NA,"610","Okres","District","",""
24,207,"SVK","Slovakia",2,"Banskobystrický",24,"Zvolen","SK.BC.ZV",NA,"611","Okres","District","",""
25,207,"SVK","Slovakia",3,"Bratislavský",25,"Bratislava III","SK.BL.B3",NA,"103","Okres","District","",""
26,207,"SVK","Slovakia",3,"Bratislavský",26,"Bratislava II","SK.BL.B2",NA,"102","Okres","District","",""
27,207,"SVK","Slovakia",3,"Bratislavský",27,"Bratislava I","SK.BL.B1",NA,"101","Okres","District","",""
28,207,"SVK","Slovakia",3,"Bratislavský",28,"Bratislava IV","SK.BL.B4",NA,"104","Okres","District","",""
29,207,"SVK","Slovakia",3,"Bratislavský",29,"Bratislava V","SK.BL.B5",NA,"105","Okres","District","",""
30,207,"SVK","Slovakia",3,"Bratislavský",30,"Malacky","SK.BL.MA",NA,"106","Okres","District","",""
31,207,"SVK","Slovakia",3,"Bratislavský",31,"Pezinok","SK.BL.PK",NA,"107","Okres","District","",""
32,207,"SVK","Slovakia",3,"Bratislavský",32,"Senec","SK.BL.SC",NA,"108","Okres","District","",""
33,207,"SVK","Slovakia",4,"Košický",33,"Gelnica","SK.KI.GL",NA,"801","Okres","District","",""
34,207,"SVK","Slovakia",4,"Košický",34,"Košice-okolie","SK.KI.KS",NA,"806","Okres","District","",""
35,207,"SVK","Slovakia",4,"Košický",35,"Košice III","SK.KI.K3",NA,"804","Okres","District","",""
36,207,"SVK","Slovakia",4,"Košický",36,"Košice II","SK.KI.K2",NA,"803","Okres","District","",""
37,207,"SVK","Slovakia",4,"Košický",37,"Košice I","SK.KI.K1",NA,"802","Okres","District","",""
38,207,"SVK","Slovakia",4,"Košický",38,"Košice IV","SK.KI.K4",NA,"805","Okres","District","",""
39,207,"SVK","Slovakia",4,"Košický",39,"Michalovce","SK.KI.MI",NA,"807","Okres","District","",""
40,207,"SVK","Slovakia",4,"Košický",40,"Rožnava","SK.KI.RV",NA,"808","Okres","District","",""
41,207,"SVK","Slovakia",4,"Košický",41,"Sobrance","SK.KI.SO",NA,"809","Okres","District","",""
42,207,"SVK","Slovakia",4,"Košický",42,"Spišská Nová Ves","SK.KI.SN",NA,"810","Okres","District","",""
43,207,"SVK","Slovakia",4,"Košický",43,"Trebišov","SK.KI.TV",NA,"811","Okres","District","",""
44,207,"SVK","Slovakia",5,"Nitriansky",44,"Šala","SK.NI.SA",NA,"405","Okres","District","",""
45,207,"SVK","Slovakia",5,"Nitriansky",45,"Komárno","SK.NI.KN",NA,"401","Okres","District","",""
46,207,"SVK","Slovakia",5,"Nitriansky",46,"Levice","SK.NI.LV",NA,"402","Okres","District","",""
47,207,"SVK","Slovakia",5,"Nitriansky",47,"Nitra","SK.NI.NR",NA,"403","Okres","District","",""
48,207,"SVK","Slovakia",5,"Nitriansky",48,"Nové Zámky","SK.NI.NZ",NA,"404","Okres","District","",""
49,207,"SVK","Slovakia",5,"Nitriansky",49,"Topolcany","SK.NI.TO",NA,"406","Okres","District","",""
50,207,"SVK","Slovakia",5,"Nitriansky",50,"Zlaté Moravce","SK.NI.ZM",NA,"407","Okres","District","",""
51,207,"SVK","Slovakia",6,"Prešovský",51,"Bardejov","SK.PV.BJ",NA,"701","Okres","District","",""
52,207,"SVK","Slovakia",6,"Prešovský",52,"Humenné","SK.PV.HE",NA,"","Okres","District","",""
53,207,"SVK","Slovakia",6,"Prešovský",53,"Kežmarok","SK.PV.KK",NA,"703","Okres","District","",""
54,207,"SVK","Slovakia",6,"Prešovský",54,"Levoca","SK.PV.LE",NA,"704","Okres","District","",""
55,207,"SVK","Slovakia",6,"Prešovský",55,"Medzilaborce","SK.PV.ML",NA,"705","Okres","District","",""
56,207,"SVK","Slovakia",6,"Prešovský",56,"Poprad","SK.PV.PP",NA,"706","Okres","District","",""
57,207,"SVK","Slovakia",6,"Prešovský",57,"Prešov","SK.PV.PO",NA,"707","Okres","District","",""
58,207,"SVK","Slovakia",6,"Prešovský",58,"Sabinov","SK.PV.SB",NA,"708","Okres","District","",""
59,207,"SVK","Slovakia",6,"Prešovský",59,"Snina","SK.PV.SV",NA,"709","Okres","District","",""
60,207,"SVK","Slovakia",6,"Prešovský",60,"Stará Lubovna","SK.PV.SL",NA,"710","Okres","District","",""
61,207,"SVK","Slovakia",6,"Prešovský",61,"Stropkov","SK.PV.SP",NA,"711","Okres","District","",""
62,207,"SVK","Slovakia",6,"Prešovský",62,"Svidník","SK.PV.SK",NA,"712","Okres","District","",""
63,207,"SVK","Slovakia",6,"Prešovský",63,"Vranov nad Toplou","SK.PV.VT",NA,"713","Okres","District","",""
64,207,"SVK","Slovakia",7,"Trenciansky",64,"Bánovce nad Bebravou","SK.TC.BN",NA,"301","Okres","District","",""
65,207,"SVK","Slovakia",7,"Trenciansky",65,"Ilava","SK.TC.IL",NA,"302","Okres","District","",""
66,207,"SVK","Slovakia",7,"Trenciansky",66,"Myjava","SK.TC.MY",NA,"303","Okres","District","",""
67,207,"SVK","Slovakia",7,"Trenciansky",67,"Nové Mesto nad Váhom","SK.TC.NM",NA,"304","Okres","District","",""
68,207,"SVK","Slovakia",7,"Trenciansky",68,"Púchov","SK.TC.PU",NA,"308","Okres","District","",""
69,207,"SVK","Slovakia",7,"Trenciansky",69,"Partizánske","SK.TC.PE",NA,"305","Okres","District","",""
70,207,"SVK","Slovakia",7,"Trenciansky",70,"Považská Bystrica","SK.TC.PB",NA,"306","Okres","District","",""
